t_s,iso,phase,round,mV,mA,mW
618.34,2026-08-31T16:30:01,read,6,4994,66,329
618.92,2026-08-31T16:30:02,read,6,4993,66,329
619.50,2026-08-31T16:30:02,read,6,4993,65,324
620.08,2026-08-31T16:30:03,read,6,4994,66,329
620.65,2026-08-31T16:30:03,read,6,4993,66,329
621.22,2026-08-31T16:30:04,read,6,4995,66,329
621.81,2026-08-31T16:30:04,read,6,4994,66,329
622.39,2026-08-31T16:30:05,read,6,4994,66,329
622.96,2026-08-31T16:30:06,read,6,4992,65,324
623.53,2026-08-31T16:30:06,read,6,4995,66,329
624.10,2026-08-31T16:30:07,read,6,4996,67,334
624.68,2026-08-31T16:30:07,read,6,4996,66,329
625.26,2026-08-31T16:30:08,read,6,4995,65,324
625.83,2026-08-31T16:30:08,read,6,4995,66,329
626.41,2026-08-31T16:30:09,read,6,4995,66,329
626.97,2026-08-31T16:30:10,read,6,4993,65,324
627.55,2026-08-31T16:30:10,read,6,4994,66,329
